period,direction,exc_q,rej_q,n,mfe60,mae60,net60
Train,upside_failure_short,Q5,Q3,18,0.46727004665838123,0.26539803105103027,0.201872015607351
Train,upside_failure_short,Q5,Q4,6,0.13966979075674726,0.5577981197546416,-0.41812832899789426
Train,upside_failure_short,Q5,Q5,4,1.2804603220333557,0.197378277153558,1.0830820448797975
Validation,downside_failure_long,Q1,Q1,2,0.2535783099366914,0.22152365938493102,0.03205465055176035
Validation,downside_failure_long,Q1,Q2,1,0.3688888888888889,0.0288888888888888,0.3399999999999999
Validation,downside_failure_long,Q1,Q3,4,0.35103350035682557,0.2689126068573047,0.08212089349952088
Validation,downside_failure_long,Q1,Q4,9,0.1591463821522041,0.3129547380728248,-0.15380835592062067
Validation,downside_failure_long,Q1,Q5,30,0.22326655893158412,0.3251609948135212,-0.1018944358819371
Validation,downside_failure_long,Q2,Q1,4,0.23881399051232277,0.23814471241805266,0.000669278094270094
Validation,downside_failure_long,Q2,Q2,3,0.262129961970845,0.25193958028512775,0.01019038168571725
Validation,downside_failure_long,Q2,Q3,21,0.2938023136248395,0.23442370208829322,0.05937861153654626
Validation,downside_failure_long,Q2,Q4,12,0.33373540773700205,0.27419092009508444,0.05954448764191761
Validation,downside_failure_long,Q2,Q5,15,0.23523862722061653,0.5399967871337116,-0.3047581599130951
Validation,downside_failure_long,Q3,Q1,5,0.2568878179451366,0.6443865776783297,-0.38749875973319325
Validation,downside_failure_long,Q3,Q2,12,0.34871940539655527,0.2756846717313136,0.07303473366524167
Validation,downside_failure_long,Q3,Q3,8,0.19107841660759534,0.37260931811823006,-0.18153090151063467
Validation,downside_failure_long,Q3,Q4,18,0.31754595967852217,0.42334916184931876,-0.10580320217079667
Validation,downside_failure_long,Q3,Q5,8,0.22833711194341563,0.6537647267521607,-0.425427614808745
Validation,downside_failure_long,Q4,Q1,10,0.33145899081295505,0.35843251865172665,-0.02697352783877164
Validation,downside_failure_long,Q4,Q2,13,0.27644923728187265,0.23966097135390538,0.03678826592796727
Validation,downside_failure_long,Q4,Q3,11,0.4437095322267026,0.21107005761014677,0.23263947461655574
Validation,downside_failure_long,Q4,Q4,12,0.44966819024523635,0.34343858498983626,0.10622960525539997
Validation,downside_failure_long,Q4,Q5,1,0.1902912621359223,0.2718446601941747,-0.0815533980582524
Validation,downside_failure_long,Q5,Q1,18,0.31184061702894944,0.30632685904704443,0.005513757981905016
Validation,downside_failure_long,Q5,Q2,22,0.3799981185957217,0.30204990185096997,0.07794821674475177
Validation,downside_failure_long,Q5,Q3,11,0.3304554336199543,0.37179444229886494,-0.04133900867891067
Validation,downside_failure_long,Q5,Q4,6,0.1952107878461505,0.5011444148299121,-0.30593362698376164
Validation,downside_failure_long,Q5,Q5,1,0.7107692307692308,3.4984615384615383,-2.7876923076923075
Validation,upside_failure_short,Q1,Q1,5,0.21455335313398383,0.30557439885218773,-0.09102104571820391
Validation,upside_failure_short,Q1,Q2,5,0.38387263755497225,0.20803492881035304,0.17583770874461926
Validation,upside_failure_short,Q1,Q3,4,0.2415531077790111,0.1894862561587432,0.052066851620267925
Validation,upside_failure_short,Q1,Q4,12,0.18312786245470147,0.2114084874737995,-0.02828062501909802
Validation,upside_failure_short,Q1,Q5,40,0.22571105179522116,0.34598186052807317,-0.12027080873285197
Validation,upside_failure_short,Q2,Q1,10,0.49306508376224045,0.23585957740424504,0.25720550635799533
Validation,upside_failure_short,Q2,Q2,13,0.2227551439487345,0.23345897005657956,-0.010703826107844957
Validation,upside_failure_short,Q2,Q3,19,0.2641144941326384,0.2886620482595967,-0.024547554126958356
Validation,upside_failure_short,Q2,Q4,13,0.21517494668442513,0.3655703306683267,-0.15039538398390156
Validation,upside_failure_short,Q2,Q5,15,0.3045711937940055,0.4255017742061155,-0.12093058041210998
Validation,upside_failure_short,Q3,Q1,3,0.694406444748442,0.3215052946243096,0.3729011501241324
Validation,upside_failure_short,Q3,Q2,12,0.16196136572282996,0.41464851040212003,-0.25268714467929
Validation,upside_failure_short,Q3,Q3,16,0.2721203426067545,0.3262483385898277,-0.05412799598307321
Validation,upside_failure_short,Q3,Q4,12,0.3797221652591169,0.26850000507753563,0.11122216018158133
Validation,upside_failure_short,Q3,Q5,9,0.4009016418436012,0.3250052266685487,0.07589641517505245
Validation,upside_failure_short,Q4,Q1,6,0.3568725284520556,0.2390596040495562,0.11781292440249942
Validation,upside_failure_short,Q4,Q2,8,0.42019081300942085,0.42160317165407923,-0.001412358644658343
Validation,upside_failure_short,Q4,Q3,13,0.35103153828496786,0.3042656824481263,0.046765855836841536
Validation,upside_failure_short,Q4,Q4,12,0.2627227881570864,0.4411406892771265,-0.1784179011200401
Validation,upside_failure_short,Q4,Q5,2,0.2168165810013325,0.9079752046449647,-0.6911586236436322
Validation,upside_failure_short,Q5,Q1,12,0.48183971542515286,0.2956756743035322,0.18616404112162074
Validation,upside_failure_short,Q5,Q2,14,0.4506112812279205,0.28812701411464836,0.16248426711327207
Validation,upside_failure_short,Q5,Q3,14,0.5712229106782873,0.3404183708382634,0.230804539840024
Validation,upside_failure_short,Q5,Q4,2,0.30646556868361374,0.2584884831125432,0.047977085571070555
